진행자,방송인,사람,아나운서,앵커,코미디언,프리랜서,리포터,
방송인,앵커,,,,,,,
방송인,코미디언,직업인,앵커,리포터,,,,
방송인,리포터,언론인,앵커,,,,,
박력분,과일즙,물질,강력분,,,,,
순교,순교자,사람,남종삼,전장운,,,,
순교,병인박해,일,기해박해,,,,,
순교자,남종삼,종교인,전장운,,,,,
치양성,가림성,산성,웅진성,,,,,
한센병,무의탁,모양,에이즈,,,,,
나환자,영세민,사람,노숙인,상이군인,,,,
이삼평,송명흠,사람,족질,모부인,,,,
퇴기,홍매,생물,옥란,혜자,,,,
나프타,생석회,화학물질,모노머,물질,염화수소,콜타르,,
이십사사,남제서,정사,북제서,,,,,
몰로토프,불가닌,사람,말렌코프,리코프,그로미코,,,
불가닌,말렌코프,정치가,리코프,,,,,
삼척군,명주군,군,원주군,춘천군,,,,
삼척군,원성군,행정구역,명주군,원주군,춘천군,,,
울산군,양산군,군,김해군,밀양군,거제군,영일군,경주군,
걸승,곰팽이,생물,비렴,,,,,
염서,용룡,기호,비렴,,,,,
정가,효영,행위,시양,,,,,
계란찜,강된장,음식,감자조림,버섯볶음,두부조림,나박김치,달걀찜,
콧소리,울림소리,소리,자모음,,,,,
계천,논산평야,곳,상천,,,,,
생산가,제조량,수량,연료비,수,도매가격,,,
운용비,설비비,비용,연료비,보수비,,,,
운용비,제조비,돈,설비비,연료비,보수비,,,
테마파크,유원지,공간,명소,눈썰매장,골프장,,,
테마파크,눈썰매장,장소,골프장,,,,,
착륙장,활주로,공간,화물칸,주기장,기관실,헬리포트,,
비행갑판,기관실,부분,함교,,,,,
천정천,묘혈,곳,홍택호,,,,,
리우빌,베유,학자,아다마르,,,,,
소과,메기목,단위,십각목,뱀장어목,개구리목,나비목,,
메기목,십각목,목,뱀장어목,개구리목,나비목,,,
부용당,경천사,집,강선루,,,,,
총재정부,자코뱅파,집단,푀양파,,,,,
케렌스키,둡체크,정치가,시에예스,,,,,
가시광선,근적외선,전자기파,자외선,적외선,라디오파,감마선,엑스선,
근적외선,적외선,,,,,,,
푸에블라,몬테레이,도시,모렐리아,쿠쿠타,톨루카,아순시온,콘셉시온,산탄데르
홍수림,반사막,땅,아북극,관목림,침엽수림,낙엽수림,,
홍수림,냉온대,공간,반사막,아북극,관목림,침엽수림,낙엽수림,
홍수림,관목림,숲,낙엽수림,,,,,
홍수림,침엽수림,녹지,관목림,낙엽수림,,,,
부전령,온천군,공간,중강진,김형권군,후치령,,,
온천군,중강진,지역,김형권군,,,,,
외무부,내무부,기관,법무부,,,,,
표어,문구,구절,슬로건,,,,,
팽만감,욕지기,느낌,구역감,,,,,
인후통,구토증,모양,테타니,,,,,
마슈하드,나자프,도시,퀘타,,,,,
난병,요참,모양,군문효수,,,,,
익릉,휘릉,능,혜릉,숭릉,,,,
휘릉,혜릉,동구릉,숭릉,,,,,
키틴,색소체,물질,이소프렌,,,,,
당지질,펩신,화합물,인산칼슘,,,,,
취로,전득,행위,가렴주구,,,,,
부증,거절증,모양,지시식,경개,,,,
문학부,대학,조직,이학부,,,,,
법학,의과,인지,약학,,,,,
금제,요패,물품,뒤꽂이,금팔찌,,,,
요패,뒤꽂이,장식품,금팔찌,,,,,
무릉,묵호,지역,양구,내평,주천,,,
묵호,내평,구역,양구,,,,,
만성병,육형,모양,청영,,,,,
육형,환표,행위,직보,,,,,
여기,거기,지시대명사,이것,,,,,
이제,이때,,,,,,,
난방차,뷔겔,장치,유개차,운반기,,,,
난방차,운반기,기계,유개차,,,,,
민원서류,보험증,문서,검안서,,,,,
동두천,평택,지역,파주,포천,김포,용인,가평,송탄
평택,파주,시,김포,용인,군포,송탄,,
평택,포천,행정구역,가평,파주,김포,용인,군포,송탄
안압,면역력,작용,삼투압,,,,,
최재서,황석우,문인,방인근,홍효민,함대훈,,,
최재서,김소운,작가,황석우,방인근,홍효민,함대훈,,
황석우,방인근,문학가,홍효민,함대훈,,,,
방인근,홍효민,소설가,함대훈,,,,,
근검,문풍,태도,몸가짐,,,,,
근검,순후,어근,질박,,,,,
군무아문,내무아문,행정기관,농상아문,외무아문,혜민원,통리아문,,
군무아문,외무아문,관아,혜민원,통리아문,,,,
왜도,최빈값,값,참값,,,,,
익공집,둥근기둥,구조물,민도리집,,,,,
치수염,선근증,모양,아네르기,,,,,
서거,타계,죽음,급서,별세,사망,훙서,승하,
서거,노환,모양,타계,급서,별세,사망,훙서,승하
별세,즉위,행위,퇴위,사망,,,,
초청장,항의문,글,공문,,,,,
하사금,구호금,돈,금일봉,찬조금,격려금,,,
스가랴,스바냐,예언자,예레미야,,,,,
작위범,거증,행위,자기거래,,,,,
박목월,유치환,직업인,김영랑,신석정,전봉건,김소월,,
박목월,김영랑,시인,신석정,전봉건,김소월,,,
기조력,복사압,작용,조석력,,,,,
적색,청색,색,황색,오렌지색,푸른색,백색,흑색,
적색,백색,빛깔,흑색,,,,,
청색,푸른색,,,,,,,
아큐정전,전우치전,소설,옹고집전,,,,,
아큐정전,유양잡조,문학,전우치전,옹고집전,,,,
순오지,기하원본,책,아언각비,수리정온,,,,
변영로,문일평,직업인,장덕준,정인보,현상윤,,,
전녹생,오희상,사람,정예남,이공로,,,,
칸타타,합창곡,악곡,환상곡,소나타,,,,
칸타타,파르티타,모양,합창곡,환상곡,소나타,,,
염도,일교차,정도,연교차,강설량,,,,
농사,농사일,경작,논농사,벼농사,,,,
농사,품팔이,일,누에치기,농사일,경작,논농사,벼농사,
분말도,접촉각,정도,조사선량,응고점,비중량,,,
다란,마나마,도시,바스라,나자프,마슈하드,,,
요르단스,멘델존,사람,비뇰라,,,,,
전자기파,충격파,파동,복사선,,,,,
전자기파,복사선,,,,,,,
생기론,전체론,이론,유심론,,,,,
생기론,주의주의,인지,전체론,유심론,,,,
풍산,풍천,공간,청송,,,,,
풍산,청송,행정구역,남양,,,,,
협정문,비준서,문서,합의서,,,,,
잡부,날품팔이,사람,구두닦이,,,,,
단골집,빈집,집,쌀집,,,,,
구름무늬,꽃문양,무늬,용무늬,덩굴무늬,,,,
예참,숭봉,행위,승종,,,,,
가정교육,단전호흡,행위,덕육,,,,,
유티카,비즈마크,도시,에번즈빌,,,,,
수도회,시토회,,,,,,,
팔걸이,등받이,부분,밑단,긴소매,,,,
목뼈,허리뼈,뼈,어깨뼈,턱뼈,종아리뼈,가슴뼈,꼬리뼈,노뼈
유백증,김덕함,문신,정곤수,이공로,,,,
유백증,이의배,사람,김덕함,정곤수,이공로,,,
플라스틱,셀로판,물질,테플론,,,,,
데번주,에식스주,주,링컨셔주,,,,,
절충주의,이성주의,태도,언어주의,회의론,,,,
절충주의,토미즘,모양,이성주의,언어주의,탐미주의,회의론,,
절충주의,탐미주의,형편,이성주의,회의론,,,,
저울자리,전갈좌,별자리,처녀좌,,,,,
속주,소아시아,공간,루멜리아,,,,,
