0,1,2,3,4,5,6,7,8,9
마셔도,끈적이,주워먹,조린다,채워도,문드러지,고깃국,땐다,팔팔,마셔서
노량리,갈사리,미점리,진교면,계천리,가인리,시방리,술상리,위태리,한내리
장렬,장렬히,민회빈,처절,순절,렬왕후,이준이,경화공주,강빈,의인왕후
문학자,교육학자,저술가,철학자,국학자,사상가,교육자,언어학자,시인,사학자
해양,극지,심층수,기술원,,,,,,
목진석,조한승,유창혁,서봉수,양재호,최철한,최규병,이창호,안조영,송태곤
주읍산,작성산,덕항산,수월암,지등산,하원곡,영곡사,월굴,마유산,장짐
틀니,우유병,긁히,눌어붙,긁어내,가려워,문질러,빨랫줄,빗질,
마기,크로이스,칸가타리,쿠로,하마지,키라,아니키,마도카,요시미즈,
조창원,윤경원,최효원,윤욱,홍만용,공회빈,남섭,민경혁,김조근,한상경
접도국,주조마국,군미국,감로국,근기국,고순시국,반로국,弁辰,호로국,水國
독정리,방아리,창내리,오남리,후사리,수청리,하길리,원곡리,은산리,가좌리
음효,‘--’,六藝,實生,小篆,중예,양수사,首官,중괘,
신순애,윤선혜,이정님,배소현,박말순,유민희,차선희,향이,장순애,김순미
이예슬,양조아,유연우,윤화경,박하준,연송하,조유정,이단비,변준석,임현경
펠리시엔,젤리모,랑가트,코치먼,툭스버리,쾨닉,비워트,레티넨,룰란츠,터갓
설이,심애,애아,옥루몽,본설,열파,넋풀이,채금,雅正,未生
문병,병문안,병구완,칭탈,송별연,충언,모셔다가,봄놀이,유숙,신동구
율려,隱逸,訓詁,經傳,직해,醫方,陣法,편술,講解,몽학
압제자,일지니,불신자,억압자,신수설,폭민,억눌린,바친다고,,
업경,관불,아미타경,瓔珞,本業,보살계,보문품,불설,법구,
상보성,양자론,쪽입자,띠구조,광양자,분자설,얽힘,삼체문제,칼로릭,개연론
신국원,원광연,류호준,강영안,심창섭,유호열,함영주,소기천,최갑종,이내영
비체린,프리툴리,바트어,살팀보카,로비올라,프루멘티,라바브,곰보빵,유산지,
몬자네,오베르탕,타메스,오르세나,야레드,노루즈,앨바,시세로,,
거무역리,경정리,지품리,황장리,덕계리,통명리,각산리,감당리,태룡리,하교리
소청리,서검리,성남도리,장촌항,볼음도리,아차도리,대청리,문갑리,울도리,북포리
육좌,旅團長,尉官,工兵,幕僚,團長,兵科,准尉,砲兵,分隊
