0,1,2,3,4,5,6,7,8,9
마흘,기우리,달제,임불,기두,작골,고정남,롐,타이고,
세이어스,게디스,둘링,페를리토,블루카스,스테워트,사무엘스,에스펜슨,커넨,
알긴,황산칼륨,아민류,산성염,과망간산,수소염,아디포일,,,
타라니,침부,발마,波斯,우바리,염부제,취와,푼드라,天竺,毘尼
얼기설기,먹이그물,얼키,걷어찰,숨관,광범히,일그러졌,정교히,전설화,호흡뿌리
시바무라,세노오,지비키,갓페이,하쓰네,오고시,미시로,미나기,기미카,시로카
목침,부레풀,投石,鐵甲,흡충류,모환,마름쇠,개류,납의,
국민군,의용군,적위군,신사군,베트민,혁명군,월맹,정규군,구국군,장교단
스피카,인피니트,달샤벳,Wow,비투비,엠블랙,유키스,,,
횔,딕손,망골트,횔더,슈페르,립시츠,쿠즈민,고르단,리우빌,클렙슈
오소,레잔,카치,창천항로,미시로,야오비,시바무라,류에,쿠루사,카나시
보과,육학,무학과,영실,십학,보험학,위화랑,산림학,구추,전략학
송두용,장석인,인정식,나경석,김교신,선각자,정개청,안기옥,박순병,신정언
풍도,덕적도,절영도,아산만,개운포,순라,경박호,기벌포,薩水,홍도
라비치,체로프,그리니,브렌델,바첵,아나벨,모브스,나자로브,아니카,
마건충,오장경,황준헌,하여장,방국진,신유한,고영기,김병제,허잉친,서겸
장소팔,임이조,최명익,최연욱,최예원,임수생,장석남,어효선,허형만,이창림
사야코,바이쇼,코시로,아쓰코,야치구사,미요코,기쿠코,츠지모토,시게히토,후사코
도목정사,親祭,齋郞,해운판관,삼사우윤,고사경,評事,첨사부,감진어사,地官
장경준,장현희,박동일,박민준,조아란,권다현,박예원,황세진,서명희,권현지
나스타샤,클라리사,에비게일,로잘린,프리쳇,클라이디,앨리시아,맥커너히,그루퍼드,일라이자
이승채,박규식,류용진,신은숙,한정옥,강원호,장기철,이희중,김상락,김선순
윤세복,이돈화,김약연,이규갑,오문환,유여대,박동완,김응순,김길창,한태동
펀,웨이,윈,런,웨,충충,밍,쉐,페이시,스펑
으신다,으셨다는,을지어다,으십니다,으셔서,섬겨라,으심을,사오나,으셨다고,
베킴,비르사,파즈단,코우칼,부야딘,오노프리,헤메드,요십,,
권종근,권민재,김승혁,전성희,임미자,김택균,엄다혜,홍순재,송웅달,
신낭,毒蛇,爬,枯草,蝠,蒼海,芻,벽호,老翁,夻
스텀프,커크비,크로버,윌리엄슨,패덕,잡슨,네스미스,맥노턴,해처,
현학,玄學,노장사상,노장학,주리론,고답,엄숙주의,老莊,道學,顯學
격문,檄文,사발통문,연판장,열읍,동학도,義兵,회유책,군란,농민군
현품,삼세불회,시왕탱화,三世佛,오여래,신중단,불탁,립상,시왕전,탄생불
지오반나,론데일,안잘리,멜라메드,세비니,딕켄스,하거티,야밀라,옐린,
요이치,마사시,히로시,유스케,하지메,요스케,아키라,쇼지,타카시,신타로
지각,知覺,고지자기,수동성,선택편향,地殼,관찰,실증성,차등회전,레골리스
가외,TDN,이중행성,기묘도,러브파,이끌린다,체행,십자배열,입자선,
예린,강민혁,래환,티애,서은광,DMTN,필독,이유애린,전소연,
보해,복분자주,신라면,매취,농심,둥지냉면,스낵면,범양건영,무파마,
비목,칼새목,우묵,쇠파리,제비과,앵무과,벽오동,파랑새목,,
존망,위태,노심초사,닥쳐올,진퇴양난,존립,굴종,썩어빠진,로워진다,풍전등화
